127.0.0.1 - admin [11/Jan/2018:13:44:21 +0530] "GET /solution-01-lebens.com/callback?code=98fdf201-78e9-36a5-867f-b1d45cae3482&session_state=bebdb8b558b7ae17ae9d3dd195efcfa5026e87c2c57aab052fd69e1cd2c4f4a2.fyiqoRMyKXCNZ-I2OuyPcQ HTTP/1.1" 200 12739
127.0.0.1 - admin [11/Jan/2018:13:46:10 +0530] "GET /solution-01-lebens.com/callback?code=98fdf201-78e9-36a5-867f-b1d45cae3482&session_state=bebdb8b558b7ae17ae9d3dd195efcfa5026e87c2c57aab052fd69e1cd2c4f4a2.fyiqoRMyKXCNZ-I2OuyPcQ HTTP/1.1" 500 3099
127.0.0.1 - admin [11/Jan/2018:13:46:21 +0530] "GET /solution-01-lebens.com/ HTTP/1.1" 200 10320
127.0.0.1 - admin [11/Jan/2018:13:46:22 +0530] "GET /solution-01-lebens.com/oidcsso HTTP/1.1" 302 -
127.0.0.1 - admin [11/Jan/2018:13:46:24 +0530] "GET /solution-01-lebens.com/callback?code=c15cc726-8e53-332a-a3a8-24fe987335f2&session_state=9496e8b71d2b5e942ad635a41b497be956427b9a16ef0e8d13ef6db1dc02a84d.NBveIqAco27d5KBHKs8WCg HTTP/1.1" 200 12787
127.0.0.1 - - [11/Jan/2018:13:50:32 +0530] "GET /solution-01-lebens.com HTTP/1.1" 302 -
127.0.0.1 - - [11/Jan/2018:13:50:32 +0530] "GET /solution-01-lebens.com/ HTTP/1.1" 200 10320
127.0.0.1 - - [11/Jan/2018:13:50:32 +0530] "GET /solution-01-lebens.com/css/bootstrap.min.css HTTP/1.1" 200 122540
127.0.0.1 - - [11/Jan/2018:13:50:32 +0530] "GET /solution-01-lebens.com/css/animate.min.css HTTP/1.1" 200 46575
127.0.0.1 - - [11/Jan/2018:13:50:32 +0530] "GET /solution-01-lebens.com/css/font-awesome.min.css HTTP/1.1" 200 26711
127.0.0.1 - - [11/Jan/2018:13:50:32 +0530] "GET /solution-01-lebens.com/css/nivo-lightbox.css HTTP/1.1" 200 5702
127.0.0.1 - - [11/Jan/2018:13:50:32 +0530] "GET /solution-01-lebens.com/css/style.css HTTP/1.1" 200 6231
127.0.0.1 - - [11/Jan/2018:13:50:32 +0530] "GET /solution-01-lebens.com/css/nivo_themes/default/default.css HTTP/1.1" 200 2909
127.0.0.1 - - [11/Jan/2018:13:50:32 +0530] "GET /solution-01-lebens.com/images/gallery-img1.jpg HTTP/1.1" 200 279707
127.0.0.1 - - [11/Jan/2018:13:50:32 +0530] "GET /solution-01-lebens.com/images/gallery-img2.jpg HTTP/1.1" 200 121211
127.0.0.1 - - [11/Jan/2018:13:50:32 +0530] "GET /solution-01-lebens.com/images/gallery-img3.jpg HTTP/1.1" 200 353650
127.0.0.1 - - [11/Jan/2018:13:50:32 +0530] "GET /solution-01-lebens.com/js/jquery.js HTTP/1.1" 200 95786
127.0.0.1 - - [11/Jan/2018:13:50:32 +0530] "GET /solution-01-lebens.com/images/gallery-img5.jpg HTTP/1.1" 200 170262
127.0.0.1 - - [11/Jan/2018:13:50:32 +0530] "GET /solution-01-lebens.com/images/gallery-img4.jpg HTTP/1.1" 200 131955
